,Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
0,H14663,2013,1.0,0,N,V,V,U,290.0,1,1960.0,   .,1053,0.0
1,H2037,2015,1.0,0,V,N,O,R,490.0,1,1850.0,4,1053,0.0
2,H3802,2014,1.0,0,N,V,V,U,595.0,1,1960.0,   .,1053,0.0
3,H3834,2013,1.0,0,V,V,V,U,2840.0,1,1960.0,   .,1053,0.0
4,H5053,2014,1.0,0,V,N,O,R,680.0,1,1800.0,3,1053,0.0
5,H4977,2012,1.0,0,V,N,O,R,535.0,1,1980.0,3,1143,0.0
6,H7390,2012,1.0,0,N,V,V,U,2830.0,1,1988.0,   .,1143,0.0
7,H14488,2015,1.0,0,N,V,V,U,4952.0,1,1988.0,   .,1160,0.0
8,H19355,2014,1.0,0,V,N,O,R,2735.0,1,2013.0,3,1173,1.0
9,H18601,2015,1.0,0,V,N,O,R,520.0,1,2011.0,2,1224,0.0
10,H18177,2013,0.24109589,0,V,N,O,R,550.0,1,1960.0,3,1283,0.0
11,H356,2013,1.0,0,V,V,V,U,910.0,1,1960.0,   .,1283,0.0
12,H15676,2013,1.0,0,V,N,O,R,842.0,1,1550.0,4,1305,0.0
13,H19442,2014,0.843835616,0,V,N,O,R,300.0,1,1900.0,2,1305,0.0
14,H14635,2012,1.0,0,N,V,V,U,560.0,1,1960.0,   .,1363,0.0
15,H13053,2012,1.0,0,V,N,O,R,3326.0,1,2007.0,4,1419,1.0
16,H14330,2014,1.0,0,N,V,V,U,3990.0,1,1988.0,   .,1419,1.0
17,H14331,2015,1.0,0,N,V,V,U,3990.0,1,1988.0,   .,1419,0.0
18,H19461,2015,1.0,0,V,N,O,R,2444.0,1,1970.0,5,2059,0.0
19,H19462,2016,1.0,0,V,N,O,R,2444.0,1,1970.0,5,2059,0.0
20,H17764,2016,0.956284153,0,V,N,O,R,1626.0,1,1950.0,2,2173,0.0
21,H16563,2016,0.99726776,0,V,N,O,R,2400.0,1,1700.0,3,2408,0.0
22,H2103,2012,1.0,0,V,N,O,R,250.0,1,1900.0,4,2408,0.0
23,H4421,2012,1.0,1,V,N,O,R,2300.0,1,1970.0,4,2722,1.0
24,H4438,2016,0.99726776,0,N,V,V,U,600.0,1,1980.0,   .,3095,0.0
