,Year of Observation,Insurance Period,Residential,Building Painted,Building Fenced,Garden,Settlement,Building Dimension,Building Type,Date Of Occupancy,Number of Windows,Geo Code,Claim
0,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,290,1,1960,4,1053,0
1,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,490,1,1850,4,1053,0
2,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,595,1,1960,4,1053,0
3,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2840,1,1960,4,1053,0
4,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,680,1,1800,3,1053,0
5,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,535,1,1980,3,1143,0
6,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,2830,1,1988,4,1143,0
7,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,4952,1,1988,4,1160,0
8,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2735,1,2013,3,1173,1
9,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,520,1,2011,2,1224,0
10,2013,0 - 5 Months,0,Not Painted,Fenced,No Garden,Rural area,550,1,1960,3,1283,0
11,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,910,1,1960,4,1283,0
12,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,842,1,1550,4,1305,0
13,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,300,1,1900,2,1305,0
14,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,560,1,1960,4,1363,0
15,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3326,1,2007,4,1419,1
16,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,3990,1,1988,4,1419,1
17,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,3990,1,1988,4,1419,0
18,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2444,1,1970,5,2059,0
19,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2444,1,1970,5,2059,0
20,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1626,1,1950,2,2173,0
21,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2400,1,1700,3,2408,0
22,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,250,1,1900,4,2408,0
23,2012,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,2300,1,1970,4,2722,1
24,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,600,1,1980,4,3095,0
25,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,5439,1,1976,10,3190,0
26,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,5439,1,1976,10,3190,1
27,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1100,1,1900,4,3190,0
28,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1200,1,1940,5,3310,0
29,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,552,1,1950,5,3310,0
30,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,900,1,1920,5,3310,0
31,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,370,2,1982,3,4070,1
32,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1400,2,1960,3,4070,0
33,2016,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,1000,2,1960,4,4073,0
34,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,480,2,1800,4,4088,0
35,2014,0 - 5 Months,0,Not Painted,Fenced,No Garden,Rural area,1300,2,1970,3,4094,0
36,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2900,2,1980,4,4094,1
37,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1300,2,1988,4,4112,0
38,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1300,2,1988,4,4112,0
39,2015,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1300,2,1988,4,4112,0
40,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1592,2,1980,4,4126,0
41,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1592,2,1980,4,4126,0
42,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,450,2,1980,4,4166,0
43,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,480,2,1960,4,4176,0
44,2015,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,487,2,1980,3,4197,0
45,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1550,1,1972,4,5004,1
46,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1550,1,1972,4,5004,0
47,2014,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,650,1,2010,2,5004,1
48,2015,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,650,1,2010,2,5004,0
49,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2600,1,1971,6,5023,1
50,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1314,1,1988,4,5023,1
51,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2960,1,1988,4,5023,0
52,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2960,1,1988,4,5023,0
53,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1386,1,1988,4,5023,0
54,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1100,1,1988,4,5023,0
55,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1100,1,1988,4,5023,1
56,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,680,1,1995,3,5023,0
57,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,3325,1,1988,4,5023,0
58,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1254,1,1960,4,5023,1
59,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1000,1,1988,4,5023,0
60,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1842,1,1988,4,5023,0
61,2015,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,300,1,1980,4,5026,0
62,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1113,1,1988,4,5026,0
63,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,310,1,1900,3,5052,0
64,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,736,1,1960,4,5052,0
65,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2050,1,2007,5,5061,0
66,2014,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2050,1,2007,5,5061,0
67,2013,6 Months - 1 Year,1,Not Painted,Fenced,No Garden,Rural area,1262,1,2006,3,5061,0
68,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,470,1,1960,4,5061,0
69,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2400,1,1980,4,5061,0
70,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,6510,1,1988,7,5061,1
71,2014,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,320,1,1960,4,5061,0
72,2012,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,425,1,1980,3,5061,0
73,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1500,1,1988,4,5065,0
74,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,900,1,1988,4,5077,0
75,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,600,1,1988,4,5077,0
76,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,2000,1,1988,4,5085,0
77,2012,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1000,1,1988,4,5085,0
78,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1000,1,1988,4,5085,0
79,2016,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1000,1,1988,4,5085,0
80,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1650,1,1980,4,5110,0
81,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,850,1,1980,4,5110,0
82,2015,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,850,1,1980,4,5110,0
83,2016,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,2600,1,1988,4,5110,0
84,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,3500,1,1988,4,5110,1
85,2014,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,260,1,1988,4,5110,0
86,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,530,1,1999,4,5133,0
87,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,4700,1,1969,5,5133,1
88,2015,6 Months - 1 Year,1,Painted,Not Fenced,Has Garden,Urban area,838,1,1960,4,5145,0
89,2013,6 Months - 1 Year,0,Painted,Not Fenced,Has Garden,Urban area,1728,1,1988,4,5161,0
90,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,1024,1,1960,4,5168,0
91,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1440,1,1985,5,5177,0
92,2012,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,300,1,1980,4,5177,0
93,2012,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,1700,1,1980,4,5177,0
94,2016,0 - 5 Months,0,Not Painted,Not Fenced,Has Garden,Urban area,1700,1,1980,4,5177,0
95,2015,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,3688,1,1980,10,5177,1
96,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,900,1,1970,5,5177,0
97,2013,6 Months - 1 Year,0,Not Painted,Not Fenced,Has Garden,Urban area,3000,1,1980,4,5177,0
98,2013,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,1170,1,1972,5,5177,0
99,2016,6 Months - 1 Year,0,Not Painted,Fenced,No Garden,Rural area,2976,1,1965,9,5177,0
